model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
q9b,low_acc,deco,sequence,0.8,0.8,0.7866666666666666,0.7436440677966102,0.7563559322033898
q9b,low_acc,deco,sequence,1.0,1.0,0.9833333333333333,0.7508474576271187,0.7576271186440678
q9b,high_acc,vcd,sequence,0.2,0.20100502512562815,0.2,0.016666666666666666,0.058333333333333334
q9b,high_acc,vcd,sequence,0.4,0.40033500837520936,0.3983333333333333,0.02092050209205021,0.058577405857740586
q9b,high_acc,vcd,sequence,0.6,0.6013400335008375,0.5983333333333334,0.04456824512534819,0.06685236768802229
q9b,high_acc,vcd,sequence,0.8,0.8006700167504187,0.7966666666666666,0.04811715481171548,0.07322175732217573
q9b,high_acc,vcd,sequence,1.0,1.0,0.995,0.07872696817420435,0.08375209380234507
q9b,high_acc,m3id,sequence,0.2,0.20100502512562815,0.2,0.016666666666666666,0.05
q9b,high_acc,m3id,sequence,0.4,0.40033500837520936,0.3983333333333333,0.02092050209205021,0.04184100418410042
q9b,high_acc,m3id,sequence,0.6,0.6013400335008375,0.5983333333333334,0.04456824512534819,0.0584958217270195
q9b,high_acc,m3id,sequence,0.8,0.8006700167504187,0.7966666666666666,0.04811715481171548,0.06485355648535565
q9b,high_acc,m3id,sequence,1.0,1.0,0.995,0.07872696817420435,0.07872696817420435
q9b,high_acc,dola,sequence,0.2,0.20100502512562815,0.2,0.016666666666666666,0.175
q9b,high_acc,dola,sequence,0.4,0.40033500837520936,0.3983333333333333,0.02092050209205021,0.12133891213389121
q9b,high_acc,dola,sequence,0.6,0.6013400335008375,0.5983333333333334,0.04456824512534819,0.116991643454039
q9b,high_acc,dola,sequence,0.8,0.8006700167504187,0.7966666666666666,0.04811715481171548,0.1108786610878661
q9b,high_acc,dola,sequence,1.0,1.0,0.995,0.07872696817420435,0.12227805695142378
q9b,high_acc,deco,sequence,0.2,0.20100502512562815,0.2,0.016666666666666666,0.016666666666666666
q9b,high_acc,deco,sequence,0.4,0.40033500837520936,0.3983333333333333,0.02092050209205021,0.016736401673640166
q9b,high_acc,deco,sequence,0.6,0.6013400335008375,0.5983333333333334,0.04456824512534819,0.036211699164345405
q9b,high_acc,deco,sequence,0.8,0.8006700167504187,0.7966666666666666,0.04811715481171548,0.04602510460251046
q9b,high_acc,deco,sequence,1.0,1.0,0.995,0.07872696817420435,0.07872696817420435
q9b,low_acc,vcd,first,0.2,0.2,0.19666666666666666,0.7711864406779662,0.711864406779661
q9b,low_acc,vcd,first,0.4,0.4,0.3933333333333333,0.690677966101695,0.6567796610169492
q9b,low_acc,vcd,first,0.6,0.6,0.59,0.7062146892655368,0.6610169491525424
q9b,low_acc,vcd,first,0.8,0.8,0.7866666666666666,0.7182203389830508,0.6864406779661016
q9b,low_acc,vcd,first,1.0,1.0,0.9833333333333333,0.7508474576271187,0.6949152542372882
q9b,low_acc,m3id,first,0.2,0.2,0.19666666666666666,0.7711864406779662,0.8135593220338984
q9b,low_acc,m3id,first,0.4,0.4,0.3933333333333333,0.690677966101695,0.7669491525423728
q9b,low_acc,m3id,first,0.6,0.6,0.59,0.7062146892655368,0.7344632768361582
q9b,low_acc,m3id,first,0.8,0.8,0.7866666666666666,0.7182203389830508,0.7478813559322034
q9b,low_acc,m3id,first,1.0,1.0,0.9833333333333333,0.7508474576271187,0.7491525423728813
q9b,low_acc,dola,first,0.2,0.2,0.19666666666666666,0.7711864406779662,0.847457627118644
q9b,low_acc,dola,first,0.4,0.4,0.3933333333333333,0.690677966101695,0.788135593220339
q9b,low_acc,dola,first,0.6,0.6,0.59,0.7062146892655368,0.7401129943502824
q9b,low_acc,dola,first,0.8,0.8,0.7866666666666666,0.7182203389830508,0.7521186440677966
q9b,low_acc,dola,first,1.0,1.0,0.9833333333333333,0.7508474576271187,0.7593220338983051
q9b,low_acc,deco,first,0.2,0.2,0.19666666666666666,0.7711864406779662,0.7372881355932204
q9b,low_acc,deco,first,0.4,0.4,0.3933333333333333,0.690677966101695,0.7033898305084746
q9b,low_acc,deco,first,0.6,0.6,0.59,0.7062146892655368,0.7259887005649718
q9b,low_acc,deco,first,0.8,0.8,0.7866666666666666,0.7182203389830508,0.7309322033898306
q9b,low_acc,deco,first,1.0,1.0,0.9833333333333333,0.7508474576271187,0.7576271186440678
q9b,high_acc,vcd,first,0.2,0.20100502512562815,0.2,0.016666666666666666,0.041666666666666664
q9b,high_acc,vcd,first,0.4,0.40033500837520936,0.3983333333333333,0.008368200836820083,0.04602510460251046
q9b,high_acc,vcd,first,0.6,0.6013400335008375,0.5983333333333334,0.013927576601671309,0.052924791086350974
q9b,high_acc,vcd,first,0.8,0.8006700167504187,0.7966666666666666,0.0397489539748954,0.060669456066945605
q9b,high_acc,vcd,first,1.0,1.0,0.995,0.07872696817420435,0.08375209380234507
q9b,high_acc,m3id,first,0.2,0.20100502512562815,0.2,0.016666666666666666,0.06666666666666667
q9b,high_acc,m3id,first,0.4,0.40033500837520936,0.3983333333333333,0.008368200836820083,0.03765690376569038
q9b,high_acc,m3id,first,0.6,0.6013400335008375,0.5983333333333334,0.013927576601671309,0.03064066852367688
q9b,high_acc,m3id,first,0.8,0.8006700167504187,0.7966666666666666,0.0397489539748954,0.05230125523012552
q9b,high_acc,m3id,first,1.0,1.0,0.995,0.07872696817420435,0.07872696817420435
q9b,high_acc,dola,first,0.2,0.20100502512562815,0.2,0.016666666666666666,0.10833333333333334
q9b,high_acc,dola,first,0.4,0.40033500837520936,0.3983333333333333,0.008368200836820083,0.1589958158995816
q9b,high_acc,dola,first,0.6,0.6013400335008375,0.5983333333333334,0.013927576601671309,0.11977715877437325
q9b,high_acc,dola,first,0.8,0.8006700167504187,0.7966666666666666,0.0397489539748954,0.10669456066945607
q9b,high_acc,dola,first,1.0,1.0,0.995,0.07872696817420435,0.12227805695142378
q9b,high_acc,deco,first,0.2,0.20100502512562815,0.2,0.016666666666666666,0.016666666666666666
q9b,high_acc,deco,first,0.4,0.40033500837520936,0.3983333333333333,0.008368200836820083,0.008368200836820083
q9b,high_acc,deco,first,0.6,0.6013400335008375,0.5983333333333334,0.013927576601671309,0.022284122562674095
q9b,high_acc,deco,first,0.8,0.8006700167504187,0.7966666666666666,0.0397489539748954,0.04184100418410042
q9b,high_acc,deco,first,1.0,1.0,0.995,0.07872696817420435,0.07872696817420435
llava16,low_acc,vcd,sequence,0.2,0.2,0.17166666666666666,1.0,0.9902912621359223
llava16,low_acc,vcd,sequence,0.4,0.4,0.3433333333333333,1.0,0.9854368932038835
llava16,low_acc,vcd,sequence,0.6,0.6,0.515,0.9967637540453075,0.9773462783171522
llava16,low_acc,vcd,sequence,0.8,0.8,0.6866666666666666,0.9927184466019418,0.9660194174757282
llava16,low_acc,vcd,sequence,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9572815533980582
llava16,low_acc,m3id,sequence,0.2,0.2,0.17166666666666666,1.0,0.9514563106796117
llava16,low_acc,m3id,sequence,0.4,0.4,0.3433333333333333,1.0,0.9660194174757282
llava16,low_acc,m3id,sequence,0.6,0.6,0.515,0.9967637540453075,0.9773462783171522
llava16,low_acc,m3id,sequence,0.8,0.8,0.6866666666666666,0.9927184466019418,0.9781553398058253
llava16,low_acc,m3id,sequence,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9689320388349515
llava16,low_acc,dola,sequence,0.2,0.2,0.17166666666666666,1.0,1.0
llava16,low_acc,dola,sequence,0.4,0.4,0.3433333333333333,1.0,1.0
llava16,low_acc,dola,sequence,0.6,0.6,0.515,0.9967637540453075,0.9967637540453075
llava16,low_acc,dola,sequence,0.8,0.8,0.6866666666666666,0.9927184466019418,0.9951456310679612
llava16,low_acc,dola,sequence,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9786407766990292
llava16,low_acc,deco,sequence,0.2,0.2,0.17166666666666666,1.0,1.0
llava16,low_acc,deco,sequence,0.4,0.4,0.3433333333333333,1.0,1.0
llava16,low_acc,deco,sequence,0.6,0.6,0.515,0.9967637540453075,0.9967637540453075
llava16,low_acc,deco,sequence,0.8,0.8,0.6866666666666666,0.9927184466019418,0.9902912621359223
llava16,low_acc,deco,sequence,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9825242718446602
llava16,high_acc,vcd,sequence,0.2,0.2003454231433506,0.19333333333333333,0.0603448275862069,0.10344827586206896
llava16,high_acc,vcd,sequence,0.4,0.4006908462867012,0.38666666666666666,0.08620689655172414,0.14655172413793102
llava16,high_acc,vcd,sequence,0.6,0.6010362694300518,0.58,0.09482758620689655,0.15517241379310345
llava16,high_acc,vcd,sequence,0.8,0.8013816925734024,0.7733333333333333,0.1206896551724138,0.1875
llava16,high_acc,vcd,sequence,1.0,1.0,0.965,0.15544041450777202,0.22107081174438686
llava16,high_acc,m3id,sequence,0.2,0.2003454231433506,0.19333333333333333,0.0603448275862069,0.15517241379310345
llava16,high_acc,m3id,sequence,0.4,0.4006908462867012,0.38666666666666666,0.08620689655172414,0.1336206896551724
llava16,high_acc,m3id,sequence,0.6,0.6010362694300518,0.58,0.09482758620689655,0.13793103448275862
llava16,high_acc,m3id,sequence,0.8,0.8013816925734024,0.7733333333333333,0.1206896551724138,0.15517241379310345
llava16,high_acc,m3id,sequence,1.0,1.0,0.965,0.15544041450777202,0.16407599309153714
llava16,high_acc,dola,sequence,0.2,0.2003454231433506,0.19333333333333333,0.0603448275862069,0.06896551724137931
llava16,high_acc,dola,sequence,0.4,0.4006908462867012,0.38666666666666666,0.08620689655172414,0.06465517241379311
llava16,high_acc,dola,sequence,0.6,0.6010362694300518,0.58,0.09482758620689655,0.08908045977011494
llava16,high_acc,dola,sequence,0.8,0.8013816925734024,0.7733333333333333,0.1206896551724138,0.12284482758620689
llava16,high_acc,dola,sequence,1.0,1.0,0.965,0.15544041450777202,0.16062176165803108
llava16,high_acc,deco,sequence,0.2,0.2003454231433506,0.19333333333333333,0.0603448275862069,0.0603448275862069
llava16,high_acc,deco,sequence,0.4,0.4006908462867012,0.38666666666666666,0.08620689655172414,0.05172413793103448
llava16,high_acc,deco,sequence,0.6,0.6010362694300518,0.58,0.09482758620689655,0.08908045977011494
llava16,high_acc,deco,sequence,0.8,0.8013816925734024,0.7733333333333333,0.1206896551724138,0.10775862068965517
llava16,high_acc,deco,sequence,1.0,1.0,0.965,0.15544041450777202,0.15716753022452504
llava16,low_acc,vcd,first,0.2,0.2,0.17166666666666666,1.0,0.9611650485436893
llava16,low_acc,vcd,first,0.4,0.4,0.3433333333333333,1.0,0.9660194174757282
