model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
internvl4b,high_acc,m3id,sequence,0.6,0.6010016694490818,0.6,0.03611111111111111,0.06388888888888888
internvl4b,high_acc,m3id,sequence,0.8,0.8013355592654424,0.8,0.07708333333333334,0.07916666666666666
internvl4b,high_acc,m3id,sequence,1.0,1.0,0.9983333333333333,0.14858096828046743,0.14023372287145242
internvl4b,high_acc,dola,sequence,0.2,0.2003338898163606,0.2,0.0,0.07100591715976332
internvl4b,high_acc,dola,sequence,0.4,0.4006677796327212,0.4,0.004166666666666667,0.16666666666666666
internvl4b,high_acc,dola,sequence,0.6,0.6010016694490818,0.6,0.03611111111111111,0.22361111111111112
internvl4b,high_acc,dola,sequence,0.8,0.8013355592654424,0.8,0.07708333333333334,0.25
internvl4b,high_acc,dola,sequence,1.0,1.0,0.9983333333333333,0.14858096828046743,0.3105175292153589
internvl4b,high_acc,deco,sequence,0.2,0.2003338898163606,0.2,0.0,0.008333333333333333
internvl4b,high_acc,deco,sequence,0.4,0.4006677796327212,0.4,0.004166666666666667,0.020833333333333332
internvl4b,high_acc,deco,sequence,0.6,0.6010016694490818,0.6,0.03611111111111111,0.03888888888888889
internvl4b,high_acc,deco,sequence,0.8,0.8013355592654424,0.8,0.07708333333333334,0.06458333333333334
internvl4b,high_acc,deco,sequence,1.0,1.0,0.9983333333333333,0.14858096828046743,0.14858096828046743
internvl4b,low_acc,vcd,first,0.2,0.20100502512562815,0.2,0.975,0.9416666666666667
internvl4b,low_acc,vcd,first,0.4,0.40033500837520936,0.3983333333333333,0.9790794979079498,0.9581589958158996
internvl4b,low_acc,vcd,first,0.6,0.6013400335008375,0.5983333333333334,0.9749303621169917,0.9693593314763231
internvl4b,low_acc,vcd,first,0.8,0.8006700167504187,0.7966666666666666,0.9728033472803347,0.9665271966527197
internvl4b,low_acc,vcd,first,1.0,1.0,0.995,0.9748743718592965,0.964824120603015
internvl4b,low_acc,m3id,first,0.2,0.20100502512562815,0.2,0.975,0.9416666666666667
internvl4b,low_acc,m3id,first,0.4,0.40033500837520936,0.3983333333333333,0.9790794979079498,0.9665271966527197
internvl4b,low_acc,m3id,first,0.6,0.6013400335008375,0.5983333333333334,0.9749303621169917,0.9721448467966574
internvl4b,low_acc,m3id,first,0.8,0.8006700167504187,0.7966666666666666,0.9728033472803347,0.9728033472803347
internvl4b,low_acc,m3id,first,1.0,1.0,0.995,0.9748743718592965,0.9748743718592965
internvl4b,low_acc,dola,first,0.2,0.20100502512562815,0.2,0.975,0.9333333333333333
internvl4b,low_acc,dola,first,0.4,0.40033500837520936,0.3983333333333333,0.9790794979079498,0.9581589958158996
internvl4b,low_acc,dola,first,0.6,0.6013400335008375,0.5983333333333334,0.9749303621169917,0.958217270194986
internvl4b,low_acc,dola,first,0.8,0.8006700167504187,0.7966666666666666,0.9728033472803347,0.9623430962343096
internvl4b,low_acc,dola,first,1.0,1.0,0.995,0.9748743718592965,0.9631490787269682
internvl4b,low_acc,deco,first,0.2,0.20100502512562815,0.2,0.975,0.975
internvl4b,low_acc,deco,first,0.4,0.40033500837520936,0.3983333333333333,0.9790794979079498,0.9790794979079498
internvl4b,low_acc,deco,first,0.6,0.6013400335008375,0.5983333333333334,0.9749303621169917,0.9749303621169917
internvl4b,low_acc,deco,first,0.8,0.8006700167504187,0.7966666666666666,0.9728033472803347,0.9728033472803347
internvl4b,low_acc,deco,first,1.0,1.0,0.995,0.9748743718592965,0.9748743718592965
internvl4b,high_acc,vcd,first,0.2,0.2003338898163606,0.2,0.0,0.016216216216216217
internvl4b,high_acc,vcd,first,0.4,0.4006677796327212,0.4,0.0125,0.03333333333333333
internvl4b,high_acc,vcd,first,0.6,0.6010016694490818,0.6,0.044444444444444446,0.06666666666666667
internvl4b,high_acc,vcd,first,0.8,0.8013355592654424,0.8,0.0625,0.09166666666666666
internvl4b,high_acc,vcd,first,1.0,1.0,0.9983333333333333,0.14858096828046743,0.16193656093489148
internvl4b,high_acc,m3id,first,0.2,0.2003338898163606,0.2,0.0,0.025
internvl4b,high_acc,m3id,first,0.4,0.4006677796327212,0.4,0.0125,0.029166666666666667
internvl4b,high_acc,m3id,first,0.6,0.6010016694490818,0.6,0.044444444444444446,0.058333333333333334
internvl4b,high_acc,m3id,first,0.8,0.8013355592654424,0.8,0.0625,0.08958333333333333
internvl4b,high_acc,m3id,first,1.0,1.0,0.9983333333333333,0.14858096828046743,0.14023372287145242
internvl4b,high_acc,dola,first,0.2,0.2003338898163606,0.2,0.0,0.17928286852589642
internvl4b,high_acc,dola,first,0.4,0.4006677796327212,0.4,0.0125,0.17928286852589642
internvl4b,high_acc,dola,first,0.6,0.6010016694490818,0.6,0.044444444444444446,0.2388888888888889
internvl4b,high_acc,dola,first,0.8,0.8013355592654424,0.8,0.0625,0.26666666666666666
internvl4b,high_acc,dola,first,1.0,1.0,0.9983333333333333,0.14858096828046743,0.3105175292153589
internvl4b,high_acc,deco,first,0.2,0.2003338898163606,0.2,0.0,0.0
internvl4b,high_acc,deco,first,0.4,0.4006677796327212,0.4,0.0125,0.0125
internvl4b,high_acc,deco,first,0.6,0.6010016694490818,0.6,0.044444444444444446,0.05555555555555555
internvl4b,high_acc,deco,first,0.8,0.8013355592654424,0.8,0.0625,0.075
internvl4b,high_acc,deco,first,1.0,1.0,0.9983333333333333,0.14858096828046743,0.14858096828046743
