model,stratum,method,score_kind,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_accuracy_lo,delta_accuracy_hi,n_common_answers,risk80_direct,risk80_method,delta_risk80,delta_risk80_lo,delta_risk80_hi,decision
q4b,low_acc,dola,first,600,2,4,0.16,0.15666666666666668,-0.0033333333333333335,0.003968253968253968,0.041666666666666664,-0.013333333333333334,0.005,537,0.8395348837209302,0.8465116279069768,0.006976744186046546,-0.004629898169631369,0.018519592678525466,no_confirmed_harm_at_primary_budget
q4b,low_acc,deco,first,600,5,15,0.16,0.14333333333333334,-0.016666666666666666,0.00992063492063492,0.15625,-0.03666666666666667,0.0016666666666666668,537,0.8395348837209302,0.8651162790697674,0.025581395348837188,-0.004739336492890936,0.05934455704478576,no_confirmed_harm_at_primary_budget
q4b,high_acc,vcd,first,600,9,18,0.8366666666666667,0.8216666666666667,-0.015,0.09183673469387756,0.035856573705179286,-0.03166666666666667,0.0016666666666666668,564,0.06637168141592921,0.09734513274336283,0.03097345132743362,0.0043103448275862155,0.06927704112519256,higher_fixed_coverage_risk
q4b,high_acc,m3id,first,600,1,8,0.8366666666666667,0.825,-0.011666666666666667,0.01020408163265306,0.01593625498007968,-0.021666666666666667,-0.0033333333333333335,564,0.06637168141592921,0.09513274336283185,0.028761061946902644,0.006666666666666668,0.04424778761061947,higher_fixed_coverage_risk
q4b,high_acc,dola,first,600,3,2,0.8366666666666667,0.8383333333333334,0.0016666666666666668,0.030612244897959183,0.00398406374501992,-0.006666666666666667,0.013333333333333334,564,0.06637168141592921,0.07079646017699115,0.00442477876106194,-0.006622882845923935,0.015418502202643174,no_confirmed_harm_at_primary_budget
q4b,high_acc,deco,first,600,2,16,0.8366666666666667,0.8133333333333334,-0.023333333333333334,0.02040816326530612,0.03187250996015936,-0.04666666666666667,-0.005,564,0.06637168141592921,0.11283185840707964,0.04646017699115043,0.02406480061895698,0.06941431670281994,higher_fixed_coverage_risk
q9b,low_acc,vcd,sequence,600,59,25,0.24666666666666667,0.30333333333333334,0.056666666666666664,0.13053097345132744,0.16891891891891891,0.009958333333333336,0.09833333333333333,590,0.7436440677966102,0.6991525423728814,-0.044491525423728806,-0.08668076109936573,0.012684989429175508,no_confirmed_harm_at_primary_budget
q9b,low_acc,m3id,sequence,600,21,21,0.24666666666666667,0.24666666666666667,0.0,0.046460176991150445,0.14189189189189189,-0.03166666666666667,0.03666666666666667,590,0.7436440677966102,0.7648305084745762,0.021186440677966045,-0.027783764367816106,0.07858815500722563,no_confirmed_harm_at_primary_budget
q9b,low_acc,dola,sequence,600,8,13,0.24666666666666667,0.23833333333333334,-0.008333333333333333,0.017699115044247787,0.08783783783783784,-0.025,0.01,590,0.7436440677966102,0.7521186440677966,0.008474576271186418,-0.012712539134189862,0.03586497890295359,no_confirmed_harm_at_primary_budget
q9b,low_acc,deco,sequence,600,4,9,0.24666666666666667,0.23833333333333334,-0.008333333333333333,0.008849557522123894,0.060810810810810814,-0.02,0.0033333333333333335,590,0.7436440677966102,0.7563559322033898,0.012711864406779627,0.0,0.0355685893604303,no_confirmed_harm_at_primary_budget
q9b,high_acc,vcd,sequence,600,16,17,0.9183333333333333,0.9166666666666666,-0.0016666666666666668,0.32653061224489793,0.030852994555353903,-0.02,0.018333333333333333,597,0.04811715481171548,0.07322175732217573,0.025104602510460247,0.0042016806722689065,0.04583333333333334,higher_fixed_coverage_risk
q9b,high_acc,m3id,sequence,600,5,6,0.9183333333333333,0.9166666666666666,-0.0016666666666666668,0.10204081632653061,0.010889292196007259,-0.013333333333333334,0.011666666666666667,597,0.04811715481171548,0.06485355648535565,0.01673640167364017,0.0020876826722338176,0.03556485355648536,no_confirmed_harm_at_primary_budget
