model,condition,file,category,n_paths,n_measured,n_unstable,any_default,any_up_to_two,n_validated
llava16,short32,huevos_rancheros_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,macarons_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,macarons_eval_047.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,onion_rings_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,onion_rings_eval_047.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,oysters_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,oysters_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pad_thai_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pad_thai_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,paella_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,paella_eval_045.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pancakes_eval_039.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,pancakes_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,panna_cotta_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,panna_cotta_eval_042.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,peking_duck_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,peking_duck_eval_031.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pho_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pho_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pizza_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,pizza_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,poutine_eval_028.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,poutine_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,prime_rib_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,prime_rib_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,ramen_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,ramen_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,red_velvet_cake_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,red_velvet_cake_eval_042.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,risotto_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,risotto_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,sashimi_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,sashimi_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,spaghetti_bolognese_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,spaghetti_bolognese_eval_045.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,spaghetti_carbonara_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,spaghetti_carbonara_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,steak_eval_024.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,steak_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,sushi_eval_039.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,sushi_eval_047.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,takoyaki_eval_031.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,takoyaki_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,tiramisu_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,tiramisu_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,waffles_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,waffles_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,beef_carpaccio_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,beef_carpaccio_eval_033.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,beef_tartare_eval_024.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,beef_tartare_eval_042.jpg,remaining_score_constraints_incompatible,2,2,1,False,False,0
q9b,original,beet_salad_eval_025.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,beet_salad_eval_033.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,beignets_eval_025.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,beignets_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,caesar_salad_eval_037.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,caesar_salad_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,cannoli_eval_026.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,cannoli_eval_032.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,ceviche_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,ceviche_eval_030.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,clam_chowder_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,clam_chowder_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,club_sandwich_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,club_sandwich_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,crab_cakes_eval_026.jpg,at_least_one_name_reachable,2,2,0,False,False,1
q9b,original,crab_cakes_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,creme_brulee_eval_028.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,creme_brulee_eval_032.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,croque_madame_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,croque_madame_eval_039.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,cup_cakes_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,cup_cakes_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,deviled_eggs_eval_044.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,deviled_eggs_eval_045.jpg,at_least_one_name_reachable,2,2,1,False,False,0
q9b,original,edamame_eval_028.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,edamame_eval_041.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,escargots_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,escargots_eval_047.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,filet_mignon_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,filet_mignon_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,foie_gras_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,foie_gras_eval_037.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,french_fries_eval_034.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,french_fries_eval_042.jpg,remaining_score_constraints_incompatible,2,2,1,False,False,0
q9b,original,fried_rice_eval_026.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,fried_rice_eval_034.jpg,at_least_one_name_reachable,2,2,0,True,True,2
q9b,original,frozen_yogurt_eval_033.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,frozen_yogurt_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,gnocchi_eval_035.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,gnocchi_eval_037.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,greek_salad_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,greek_salad_eval_045.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,hamburger_eval_039.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,hamburger_eval_044.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,hot_and_sour_soup_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,hot_and_sour_soup_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,hot_dog_eval_030.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,hot_dog_eval_040.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,huevos_rancheros_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,huevos_rancheros_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,lobster_bisque_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,lobster_bisque_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,lobster_roll_sandwich_eval_029.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,lobster_roll_sandwich_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
