model,condition,file,target_name,status,robust_stable,interval_empty,contains_default,empty_reason,witness_alpha,validation_passed,category
llava16,original,onion_rings_eval_038.jpg,onion rings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,onion_rings_eval_038.jpg,Onion rings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,onion_rings_eval_047.jpg,onion rings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,onion_rings_eval_047.jpg,Onion rings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,oysters_eval_026.jpg,oysters,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,oysters_eval_026.jpg,Oysters,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,oysters_eval_038.jpg,oysters,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,oysters_eval_038.jpg,Oysters,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pad_thai_eval_025.jpg,pad thai,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pad_thai_eval_025.jpg,Pad thai,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pad_thai_eval_034.jpg,pad thai,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pad_thai_eval_034.jpg,Pad thai,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,paella_eval_028.jpg,paella,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,paella_eval_028.jpg,Paella,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,paella_eval_045.jpg,paella,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,paella_eval_045.jpg,Paella,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pancakes_eval_039.jpg,pancakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pancakes_eval_039.jpg,Pancakes,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,pancakes_eval_040.jpg,pancakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pancakes_eval_040.jpg,Pancakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,panna_cotta_eval_032.jpg,panna cotta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,panna_cotta_eval_032.jpg,Panna cotta,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,panna_cotta_eval_042.jpg,panna cotta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,panna_cotta_eval_042.jpg,Panna cotta,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,peking_duck_eval_025.jpg,peking duck,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,peking_duck_eval_025.jpg,Peking duck,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,peking_duck_eval_031.jpg,peking duck,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,peking_duck_eval_031.jpg,Peking duck,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,pho_eval_034.jpg,pho,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pho_eval_034.jpg,Pho,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pho_eval_040.jpg,pho,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pho_eval_040.jpg,Pho,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pizza_eval_040.jpg,pizza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pizza_eval_040.jpg,Pizza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pizza_eval_046.jpg,pizza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,pizza_eval_046.jpg,Pizza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,poutine_eval_028.jpg,poutine,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,poutine_eval_028.jpg,Poutine,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,poutine_eval_036.jpg,poutine,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,poutine_eval_036.jpg,Poutine,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,prime_rib_eval_029.jpg,prime rib,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,prime_rib_eval_029.jpg,Prime rib,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,prime_rib_eval_038.jpg,prime rib,ok,True,True,False,target_outside_support,,,empty_target_outside_support
