always_right_dconf,always_right_hi,always_right_lo,always_right_n,always_right_n_conf,always_wrong_dconf,always_wrong_hi,always_wrong_lo,always_wrong_n,always_wrong_n_conf,broken_dconf,broken_hi,broken_lo,broken_n,broken_n_conf,cells_similar,corrected_dconf,corrected_hi,corrected_lo,corrected_n,corrected_n_conf,method,model,same_wrong_answer_share,stratum
0.15020066052675246,0.17215855132512473,0.13032265686326555,135,135,0.19904301765265767,0.21466796633049107,0.18299876541897722,444,444,0.3966606906973399,0.5215247258973809,0.2739022512132158,13,13,no(always_wrongvsbroken),0.44031968154013157,0.5453730031847953,0.3071493147406727,8,8,dola,q9b,0.713963963963964,low_acc
0.09521782269580759,0.11979865371216111,0.07348842370933552,139,139,0.08186664423971836,0.08910634904293276,0.07532125622466472,448,448,0.1711774617433548,0.36262518842187175,0.03932997907201449,9,9,yes,0.1385103426873684,0.29755768179893494,0.034737735986709595,4,4,deco,q9b,0.8504464285714286,low_acc
0.0695169395052092,0.08208092140654721,0.05623057403563337,534,534,0.22848350216041913,0.29921541924052164,0.158985623999527,33,33,0.15282426336232355,0.2245373661903774,0.08413328988587156,17,17,no(always_rightvsbroken),0.22744456119835377,0.3085323092993349,0.15095915007404984,16,16,vcd,q9b,0.7878787878787878,high_acc
0.009640605706687367,0.01566035434535337,0.0042543661765275746,545,545,0.11454439264806834,0.18210453838956625,0.048752563776956366,44,44,0.38282764454682666,0.5170689101020495,0.25617551306883496,6,6,no(always_wrongvsbroken),0.2748733252286911,0.4936393201351166,0.05610733032226563,5,5,m3id,q9b,0.8636363636363636,high_acc
0.10549301055188362,0.11501109930328451,0.09594641228636297,520,520,0.21790409155867316,0.2756131494841115,0.16725605161521923,44,44,0.329918697476387,0.3705506537349954,0.29084685634701485,31,31,no(always_wrongvsbroken),0.35907791256904603,0.4836759030818939,0.23373302817344666,5,5,dola,q9b,0.7727272727272727,high_acc
0.06148277799578479,0.0658672642132716,0.05715544293736563,548,548,0.07184530953143506,0.08805206591620088,0.056691050402661584,47,47,0.023727238178253174,0.028519779443740845,0.016835391521453857,3,3,no(correctedvsbroken),0.0378226637840271,0.04195025563240051,0.033695071935653687,2,2,deco,q9b,0.9148936170212766,high_acc
0.24617651104927063,0.3453733555144733,0.15175114406479728,9,9,0.2422205465106232,0.25814126357826267,0.22820996972805388,573,573,0.19553099821011224,0.33035064737002057,0.0966789076725642,6,6,yes,0.227676872164011,0.30996077094847946,0.14826648831367495,12,12,vcd,internvl4b,0.5636998254799301,low_acc
0.20985657845934233,0.3923473929365476,0.055725964407126106,12,12,0.1600216988128485,0.179096916190883,0.14127852840227464,582,582,0.400711531440417,0.5172347277402878,0.31795842945575714,3,3,no(always_wrongvsbroken),0.3552296956380208,0.5672239311039254,0.07996061444282532,3,3,m3id,internvl4b,0.6958762886597938,low_acc
0.3991985023021698,0.641856563091278,0.1565404415130615,5,5,0.5245736710150057,0.540511190060946,0.508169239835853,568,568,0.5470438927412034,0.6293410596251487,0.452498475164175,10,10,yes,0.5396295803434709,0.6202244062853209,0.45764365711194627,17,17,dola,internvl4b,0.2517605633802817,low_acc
0.06918802162011464,0.0831964715073506,0.05607457583149274,15,15,0.06634418179846217,0.07091749280054345,0.062071274422172806,585,585,nan,nan,nan,0,0,yes,nan,nan,nan,0,0,deco,internvl4b,0.9076923076923077,low_acc
0.14060212760856472,0.15347602777413488,0.12819746844931362,485,485,0.2233590351443895,0.27012837389090527,0.17855145943836426,71,71,0.10650621755765034,0.16474745207681085,0.053380494622083816,26,26,no(correctedvsbroken),0.22354239970445633,0.3105750326895051,0.14865328580554987,18,18,vcd,internvl4b,0.647887323943662,high_acc
0.02240714089201373,0.03264050852698769,0.013235619656829966,506,506,0.1165053453060645,0.16409038070919385,0.07431826676371732,79,79,0.3159863710403442,0.4156601011753082,0.19447789788246156,5,5,no(always_wrongvsbroken),0.46307984963059423,0.618659334294498,0.31217216501012446,10,10,m3id,internvl4b,0.7088607594936709,high_acc
0.234649474975429,0.2522622166630588,0.21821487422042254,395,395,0.5243525219635224,0.5737846384008585,0.4757413369432931,71,71,0.4637839649001072,0.4916203599391055,0.4353849132834324,116,116,no(always_wrongvsbroken),0.5201488393876288,0.5874175025978021,0.4530290869788991,18,18,dola,internvl4b,0.19718309859154928,high_acc
