class,closed_full_acc,closed_near10_acc,n,open_acc,pair,stratum
bluetick,0.0417,0.9583,24,0.0,q4b@dogs,deficient
border_collie,0.875,0.9167,24,0.0,q4b@dogs,deficient
border_terrier,0.25,0.9583,24,0.0,q4b@dogs,deficient
borzoi,0.7083,1.0,24,0.125,q4b@dogs,deficient
boston_bull,0.6667,0.9583,24,0.0,q4b@dogs,deficient
bouvier_des_flandres,0.0,0.125,24,0.0,q4b@dogs,deficient
boxer,0.875,1.0,24,0.0,q4b@dogs,deficient
briard,0.0833,0.0,24,0.0,q4b@dogs,deficient
brittany_spaniel,0.0833,1.0,24,0.0,q4b@dogs,deficient
bull_mastiff,0.4167,0.7917,24,0.0,q4b@dogs,deficient
cairn,0.0417,0.875,24,0.0,q4b@dogs,deficient
chesapeake_bay_retriever,0.0,0.9167,24,0.0,q4b@dogs,deficient
chow,0.3333,0.9583,24,0.0,q4b@dogs,deficient
clumber,0.0,0.9583,24,0.0,q4b@dogs,deficient
cocker_spaniel,0.75,0.9583,24,0.0,q4b@dogs,deficient
curly,0.0833,0.9583,24,0.0,q4b@dogs,deficient
dandie_dinmont,0.0,0.2917,24,0.0,q4b@dogs,deficient
doberman,0.8333,1.0,24,0.0,q4b@dogs,deficient
english_foxhound,0.1667,0.9167,24,0.0,q4b@dogs,deficient
english_setter,0.0833,0.3333,24,0.0,q4b@dogs,deficient
afghan_hound,0.4583,0.9583,24,0.9167,q4b@dogs,known
african_hunting_dog,0.875,1.0,24,0.9583,q4b@dogs,known
basenji,0.375,0.9167,24,1.0,q4b@dogs,known
bedlington_terrier,0.375,0.9583,24,0.0,q4b@dogs,known
bernese_mountain_dog,0.7917,1.0,24,0.875,q4b@dogs,known
brabancon_griffon,0.125,0.9583,24,0.7917,q4b@dogs,known
cardigan,0.1667,1.0,24,0.0,q4b@dogs,known
chihuahua,0.7917,1.0,24,0.0,q4b@dogs,known
collie,0.5,0.9583,24,0.0417,q4b@dogs,known
dhole,0.4583,0.75,24,0.2917,q4b@dogs,known
dingo,0.4167,0.9583,24,0.125,q4b@dogs,known
eskimo_dog,0.0,0.9167,24,0.9167,q4b@dogs,known
greater_swiss_mountain_dog,0.25,0.5417,24,0.8333,q4b@dogs,known
ibizan_hound,0.2083,0.75,24,1.0,q4b@dogs,known
komondor,0.625,0.8333,24,0.125,q4b@dogs,known
leonberg,0.375,0.7083,24,0.9167,q4b@dogs,known
maltese_dog,0.5417,1.0,24,0.9583,q4b@dogs,known
miniature_poodle,0.2083,0.4583,24,0.9167,q4b@dogs,known
newfoundland,0.4167,0.875,24,0.75,q4b@dogs,known
pembroke,0.4167,0.9167,24,0.2083,q4b@dogs,known
pug,0.9167,1.0,24,1.0,q4b@dogs,known
siberian_husky,0.875,0.9167,24,0.0,q4b@dogs,known
standard_poodle,0.25,1.0,24,1.0,q4b@dogs,known
toy_poodle,0.2917,0.2917,24,0.9583,q4b@dogs,known
toy_terrier,0.0,0.3333,24,0.9583,q4b@dogs,known
walker_hound,0.0417,0.9167,24,1.0,q4b@dogs,known
west_highland_white_terrier,0.8333,1.0,24,0.0,q4b@dogs,known
whippet,0.625,1.0,24,0.0417,q4b@dogs,known
wire,0.0,0.8333,24,0.0,q4b@dogs,known
yorkshire_terrier,0.9167,1.0,24,0.0,q4b@dogs,known
(overall),0.4375,0.8583,720,0.5528,q4b@dogs,known
(overall),0.3222,0.8042,720,0.0042,q4b@dogs,deficient
affenpinscher,0.2917,0.5833,24,0.0,q9b@dogs,deficient
airedale,0.875,0.9167,24,0.0,q9b@dogs,deficient
american_staffordshire_terrier,0.5417,0.9583,24,0.0,q9b@dogs,deficient
appenzeller,0.125,0.1667,24,0.0,q9b@dogs,deficient
australian_terrier,0.0833,0.9583,24,0.0,q9b@dogs,deficient
basset,0.625,0.9583,24,0.0,q9b@dogs,deficient
beagle,1.0,1.0,24,0.0,q9b@dogs,deficient
black,0.0,0.9167,24,0.0,q9b@dogs,deficient
blenheim_spaniel,0.75,1.0,24,0.0,q9b@dogs,deficient
bloodhound,0.9583,1.0,24,0.0,q9b@dogs,deficient
bluetick,0.5833,1.0,24,0.0,q9b@dogs,deficient
border_collie,0.9583,1.0,24,0.0,q9b@dogs,deficient
border_terrier,0.7083,0.9583,24,0.0,q9b@dogs,deficient
borzoi,1.0,1.0,24,0.0,q9b@dogs,deficient
boston_bull,0.8333,0.9583,24,0.0417,q9b@dogs,deficient
bouvier_des_flandres,0.0417,0.375,24,0.0,q9b@dogs,deficient
briard,0.125,0.25,24,0.0,q9b@dogs,deficient
