T_fit,dconf_ctrl_temp,dconf_ctrl_trunc,dconf_method,dev_target,ece_ctrl_temp,ece_ctrl_trunc,ece_direct,ece_method,gap_temp_hi,gap_temp_lo,gap_trunc_hi,gap_trunc_lo,method,model,n_dev_unchanged,rho_temp,rho_trunc,stratum,verdict
0.9,0.0592431919897714,0.12833744685512755,0.07704470244686255,0.0471163446412367,0.4316184455638426,0.48978636111523915,0.3790240654225151,0.539787773390611,-5.7767581340839716e-05,-0.03734653933164128,0.073041612772493,0.028880222698657178,m3id,llava16,340,0.768945691374838,0.3342469659917058,low_acc,partial
0.8,0.10743765614380245,0.111773390266074,0.11212460614753456,0.12587335106715486,0.48564725221692184,0.48978636111523915,0.3790240654225151,0.49015494676927723,-0.0014123612850919333,-0.007872645105229743,-0.00020171802294139115,-0.0005041253613912651,dola,llava16,398,0.9581987383075845,0.9968676288503665,low_acc,sharpening
0.9,0.05399952662095614,0.11349000139133175,0.048082646340300135,0.05408316403227901,0.4316184455638426,0.48978636111523915,0.3790240654225151,0.42987656327585383,0.008794504830420082,0.0028896446908772038,0.0709997709367674,0.06010372133879794,deco,llava16,373,0.8769435392806819,-0.3603110483586447,low_acc,sharpening
0.65,0.201186398131657,0.1485138984455498,0.2186087765195201,0.21258057681195466,0.07765119092879672,0.15350243908460479,0.27353791524966553,0.08721217309435209,-0.0037684825284562003,-0.032626115846953754,-0.05596860323345061,-0.08498615555482192,vcd,llava16,273,0.9203033900777199,0.6793592682327128,high_acc,sharpening
0.9,0.062080981427878386,0.1462919770277113,0.019324471498282137,0.0471163446412367,0.2140235165543054,0.15350243908460479,0.27353791524966553,0.2564396236091852,0.05230065957678231,0.032789769093142164,0.13827306701598388,0.11505781540690195,m3id,llava16,340,-1.2125577888842711,-5.57029640063978,high_acc,structure
0.8,0.11745751635901547,0.13911308141866593,0.139269346841658,0.12587335106715486,0.1566764933239182,0.15350243908460479,0.27353791524966553,0.14768216674526533,-0.0176134257810474,-0.025773097279899466,-4.714461620993709e-05,-0.0002615667357404802,dola,llava16,398,0.8433838387463577,0.9988779625485733,high_acc,sharpening
0.9,0.05971788065449348,0.13816792378954604,0.05664476754990491,0.05408316403227901,0.2140235165543054,0.15350243908460479,0.27353791524966553,0.21475807704031463,0.006186440350733182,-0.00012283073615835955,0.0879558909353036,0.07555608174820226,deco,llava16,373,0.9457476261707471,-0.4392001197254092,high_acc,sharpening
0.65,0.2369498676155396,0.16908193413711084,0.23903252694671945,0.18471158337727023,0.5663949812827533,0.48952853259667506,0.3458144494642815,0.577336566473047,0.017275937005331622,-0.02370289380191456,-0.05041179955952596,-0.08989688225202903,vcd,internvl4b,267,0.9912871300078584,0.7073595225590338,low_acc,sharpening
0.95,0.03458617216932505,0.16603221527649417,0.0658563233838223,0.040239212356629916,0.37612757227825955,0.48952853259667506,0.3458144494642815,0.5090123350173235,-0.014286062708367178,-0.050300122324888605,0.12103332098750026,0.07888508284248127,m3id,internvl4b,305,0.52517617735431,-0.5211279152167219,low_acc,partial
0.2,0.383899629890035,0.19341632077347123,0.37152075830926284,0.24576905948012623,0.8700754473228571,0.48952853259667506,0.3458144494642815,0.85847774853309,0.04196976283965268,-0.015459845257599398,-0.1341552091823018,-0.22439954769666767,dola,internvl4b,134,0.9666805385596579,0.5206070359397437,low_acc,sharpening
0.9,0.06175117378106131,0.14603596681275352,0.06293420534766181,0.06337821883501979,0.4067007282691868,0.48952853259667506,0.3458144494642815,0.4122297272582849,0.0018986204035943955,-0.004189764691037898,0.08930272745283091,0.0768915848580088,deco,internvl4b,354,0.9812020893873978,-0.32045460820582505,low_acc,sharpening
0.65,0.1626862772653805,0.1250684222842619,0.14936478606337666,0.18471158337727023,0.06602388283195411,0.11406860258445733,0.2275949929654598,0.08036159773667649,0.025604472326239004,0.0006245489772014807,-0.012772659625639431,-0.03586413024022048,vcd,internvl4b,267,0.9108123704850256,0.8373353959827879,high_acc,sharpening
0.95,0.027624336252733764,0.12388805184354992,0.008739399085769723,0.040239212356629916,0.20074604408170874,0.11406860258445733,0.2275949929654598,0.1951991485059261,0.023977500796213004,0.01282830119368351,0.12343006842598851,0.1069589488349134,m3id,internvl4b,305,-1.1608965309427508,-12.175808957537551,high_acc,structure
0.2,0.2161301521634213,0.12453710863832418,0.20671363309506446,0.24576905948012623,0.09957358439660553,0.11406860258445733,0.2275949929654598,0.2578063256541887,0.020009059562097548,-0.0010312744796420106,-0.06538738223784453,-0.10006194867589377,dola,internvl4b,134,0.9544465503926085,0.6024619991128086,high_acc,sharpening
