population,model,domain,group,method,n,acc_direct,gap_direct,ece_direct,ece_method,d_ece
class,q4b,food101,tiramisu,vcd,24,0.9583,-0.5372,0.5372,0.1843,-0.3529
class,q4b,food101,tuna_tartare,vcd,24,0.1667,0.193,0.2211,0.6242,0.4031
class,q4b,food101,waffles,vcd,24,0.8333,-0.27,0.3372,0.1785,-0.1587
class,q4b,food101,apple_pie,mib,24,0.5,-0.1189,0.3253,0.2757,-0.0495
class,q4b,food101,baby_back_ribs,mib,24,0.4167,-0.0475,0.3493,0.2445,-0.1048
class,q4b,food101,baklava,mib,24,0.8333,-0.1699,0.2131,0.0908,-0.1223
class,q4b,food101,beef_carpaccio,mib,24,0.1667,0.1407,0.2579,0.3886,0.1307
class,q4b,food101,beef_tartare,mib,24,0.0833,0.2829,0.3275,0.256,-0.0715
class,q4b,food101,beet_salad,mib,24,0.6667,-0.0741,0.2368,0.3223,0.0855
class,q4b,food101,beignets,mib,24,0.5417,-0.1991,0.2785,0.2431,-0.0354
class,q4b,food101,bibimbap,mib,24,0.2083,0.1635,0.2073,0.2773,0.07
class,q4b,food101,bread_pudding,mib,24,0.7917,-0.3882,0.3882,0.3299,-0.0583
class,q4b,food101,breakfast_burrito,mib,24,0.7083,-0.0987,0.2109,0.1397,-0.0712
class,q4b,food101,bruschetta,mib,24,0.4167,-0.1321,0.276,0.2406,-0.0353
class,q4b,food101,caesar_salad,mib,24,0.9167,-0.3747,0.3747,0.4072,0.0325
class,q4b,food101,cannoli,mib,24,0.7083,-0.0471,0.1701,0.1484,-0.0217
class,q4b,food101,caprese_salad,mib,24,0.5417,-0.1692,0.23,0.287,0.057
class,q4b,food101,carrot_cake,mib,24,0.8333,-0.4637,0.4744,0.4056,-0.0687
class,q4b,food101,ceviche,mib,24,0.3333,0.1089,0.2853,0.1328,-0.1525
class,q4b,food101,cheese_plate,mib,24,0.5,-0.1263,0.2416,0.2624,0.0208
class,q4b,food101,cheesecake,mib,24,0.5417,-0.1586,0.2222,0.3017,0.0796
class,q4b,food101,chicken_curry,mib,24,0.5,-0.1191,0.2312,0.2967,0.0655
class,q4b,food101,chicken_quesadilla,mib,24,0.9583,-0.1507,0.1507,0.0437,-0.1069
class,q4b,food101,chicken_wings,mib,24,0.7917,-0.1849,0.1849,0.3097,0.1248
class,q4b,food101,chocolate_cake,mib,24,0.7083,-0.2578,0.3171,0.292,-0.0251
class,q4b,food101,chocolate_mousse,mib,24,0.8333,-0.4177,0.4177,0.3189,-0.0988
class,q4b,food101,churros,mib,24,0.5417,0.0687,0.13,0.4922,0.3621
class,q4b,food101,clam_chowder,mib,24,0.9583,-0.2393,0.2393,0.3772,0.1379
class,q4b,food101,club_sandwich,mib,24,0.75,-0.2311,0.3639,0.2671,-0.0967
class,q4b,food101,crab_cakes,mib,24,0.1667,0.1937,0.3614,0.3168,-0.0445
class,q4b,food101,creme_brulee,mib,24,0.2083,0.1264,0.2553,0.189,-0.0664
class,q4b,food101,croque_madame,mib,24,0.0,0.3251,0.3251,0.3999,0.0749
class,q4b,food101,cup_cakes,mib,24,0.0,0.5011,0.5011,0.5807,0.0796
class,q4b,food101,deviled_eggs,mib,24,0.9167,-0.3965,0.3965,0.3259,-0.0705
class,q4b,food101,donuts,mib,24,0.9167,-0.4001,0.4102,0.2861,-0.1241
class,q4b,food101,dumplings,mib,24,0.2917,0.0562,0.1734,0.397,0.2236
class,q4b,food101,edamame,mib,24,0.9167,-0.1838,0.2474,0.214,-0.0334
class,q4b,food101,eggs_benedict,mib,24,0.375,0.0078,0.4794,0.2732,-0.2062
class,q4b,food101,escargots,mib,24,0.125,0.176,0.176,0.3181,0.1421
class,q4b,food101,falafel,mib,24,0.75,-0.1047,0.1613,0.1861,0.0248
class,q4b,food101,filet_mignon,mib,24,0.0,0.5031,0.5031,0.5446,0.0415
class,q4b,food101,fish_and_chips,mib,24,0.5417,-0.1053,0.4474,0.3504,-0.097
class,q4b,food101,foie_gras,mib,24,0.0,0.3625,0.3625,0.5089,0.1464
class,q4b,food101,french_fries,mib,24,0.9167,-0.3673,0.3673,0.3226,-0.0447
class,q4b,food101,french_onion_soup,mib,24,0.8333,-0.2846,0.3414,0.2635,-0.0779
class,q4b,food101,french_toast,mib,24,0.5,-0.1065,0.1671,0.2447,0.0775
class,q4b,food101,fried_calamari,mib,24,0.4167,-0.044,0.2928,0.1899,-0.1029
class,q4b,food101,fried_rice,mib,24,0.9167,-0.4203,0.4322,0.1976,-0.2346
class,q4b,food101,frozen_yogurt,mib,24,0.25,0.0747,0.1034,0.346,0.2426
class,q4b,food101,garlic_bread,mib,24,0.5833,-0.2335,0.358,0.3565,-0.0015
class,q4b,food101,gnocchi,mib,24,0.2083,0.216,0.4032,0.1694,-0.2338
class,q4b,food101,greek_salad,mib,24,0.9167,-0.1626,0.1655,0.2878,0.1224
class,q4b,food101,grilled_cheese_sandwich,mib,24,0.625,-0.2044,0.3605,0.1886,-0.172
class,q4b,food101,grilled_salmon,mib,24,0.25,0.2498,0.3497,0.1834,-0.1663
class,q4b,food101,guacamole,mib,24,0.6667,-0.0723,0.1361,0.1397,0.0036
class,q4b,food101,gyoza,mib,24,0.125,0.3444,0.3444,0.3131,-0.0313
class,q4b,food101,hamburger,mib,24,0.9167,-0.4754,0.4754,0.3903,-0.0852
class,q4b,food101,hot_and_sour_soup,mib,24,1.0,-0.2601,0.2601,0.3477,0.0876
class,q4b,food101,hot_dog,mib,24,0.9583,-0.3031,0.3274,0.2391,-0.0883
class,q4b,food101,huevos_rancheros,mib,24,0.0,0.4535,0.4535,0.5441,0.0906
class,q4b,food101,hummus,mib,24,0.875,-0.2583,0.2837,0.092,-0.1917
class,q4b,food101,ice_cream,mib,24,0.6667,-0.104,0.2033,0.2425,0.0391
