abstain_direct,abstain_method,acc_direct,acc_method,break_rate,conf_direct,conf_method,dconf_all,dconf_un_hi,dconf_un_lo,dconf_unchanged,dece,dece_hi,dece_lo,ece_direct,ece_method,method,model,n,n_unchanged,n_with_conf,rescue_rate,stratum
0.0,0.0,0.24666666666666667,0.23833333333333334,0.08783783783783784,0.39468493084112805,0.5902371565749248,0.19555222573379674,0.1352853942349835,0.11703640866240853,0.1256892065700346,0.20567603555818403,0.22670329946962497,0.1826614256078998,0.14801826417446134,0.3536942997326454,dola,q9b,600,423,600,0.017699115044247787,low_acc
0.0,0.016666666666666666,0.24666666666666667,0.23833333333333334,0.060810810810810814,0.39468493084112805,0.48136188500871263,0.08667695416758457,0.0822070766002737,0.0700331879243132,0.07592156869761738,0.09501028750091794,0.10982831450458616,0.07748250094925364,0.14801826417446134,0.2430285516753793,deco,q9b,600,486,600,0.008849557522123894,low_acc
0.0016666666666666668,0.0,0.9183333333333333,0.9166666666666666,0.030852994555353903,0.628093154852589,0.7129250327249368,0.08483187787234783,0.09515178526328369,0.06821957943961025,0.08170113092796369,-0.07551306245227651,-0.04955771741581462,-0.10160325728791456,0.2906745843340953,0.2151615218818188,vcd,q9b,600,440,600,0.32653061224489793,high_acc
0.0016666666666666668,0.0,0.9183333333333333,0.9166666666666666,0.010889292196007259,0.628093154852589,0.6513688479860623,0.023275693133473396,0.014245015411223798,0.003088459454011172,0.008159018949502043,-0.01826877129574611,-0.004281459695349156,-0.033721447053054944,0.2906745843340953,0.2724058130383492,m3id,q9b,600,576,600,0.10204081632653061,high_acc
0.0016666666666666668,0.0016666666666666668,0.9183333333333333,0.875,0.056261343012704176,0.628093154852589,0.7555381793528795,0.12744502450029055,0.11229774787502611,0.09613385344561279,0.1044262823585851,-0.0911944840848446,-0.06443227050701773,-0.11631862671300766,0.2906745843340953,0.19948010024925072,dola,q9b,600,459,600,0.10204081632653061,high_acc
0.0016666666666666668,0.005,0.9183333333333333,0.9166666666666666,0.0054446460980036296,0.628093154852589,0.6901200197388728,0.062026864886283874,0.06655416192705806,0.05776877112844546,0.062385104725815654,-0.06347344418366749,-0.055628805848459376,-0.07332399494138864,0.2906745843340953,0.22720114015042783,deco,q9b,600,519,600,0.04081632653061224,high_acc
0.09333333333333334,0.01,0.018333333333333333,0.04,0.5454545454545454,0.3973573987558484,0.6500565557926893,0.2526991570368409,0.2730662793739751,0.23565906250085628,0.2542844473832125,0.23103249037017426,0.2521771976957098,0.21018248078661658,0.3790240654225151,0.6100565557926894,vcd,llava16,600,339,600,0.03225806451612903,low_acc
0.09333333333333334,0.008333333333333333,0.018333333333333333,0.03333333333333333,0.09090909090909091,0.3973573987558484,0.5731211067239443,0.17576370796809593,0.09734857371935011,0.05891460665658619,0.07704470244686255,0.16076370796809591,0.18357280401699244,0.13793192035394403,0.3790240654225151,0.539787773390611,m3id,llava16,600,445,600,0.01697792869269949,low_acc
0.09333333333333334,0.09833333333333333,0.018333333333333333,0.018333333333333333,0.0,0.3973573987558484,0.5084882801026106,0.11113088134676218,0.11741909223865535,0.10700835274838151,0.11212460614753456,0.11113088134676213,0.11634755707656347,0.1059103011271606,0.3790240654225151,0.49015494676927723,dola,llava16,600,591,600,0.0,low_acc
0.09333333333333334,0.14166666666666666,0.018333333333333333,0.015,0.36363636363636365,0.3973573987558484,0.4448765632758538,0.04751916452000538,0.05103586516965693,0.04524913339010964,0.048082646340300135,0.05085249785333873,0.05996470213371016,0.04234169001318507,0.3790240654225151,0.42987656327585383,deco,llava16,600,531,600,0.003395585738539898,low_acc
